15:02:52.333 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
15:02:52.717 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
15:02:52.723 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 3.961 seconds (JVM running for 4.924) 
15:02:59.230 [Thread-12] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
15:03:04.349 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
15:03:05.059 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5949 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
15:03:05.060 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
15:03:05.352 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
15:03:06.472 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
15:03:06.512 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
15:03:06.512 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
15:03:06.626 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
15:03:06.626 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 1503 ms 
15:03:07.232 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
15:03:07.639 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
15:03:07.645 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 3.206 seconds (JVM running for 7.158) 
15:04:24.868 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring DispatcherServlet 'dispatcherServlet' 
15:04:24.871 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(524) - Initializing Servlet 'dispatcherServlet' 
15:04:24.887 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(546) - Completed initialization in 16 ms 
